,portfolio_value,daily_return,daily_turnover
2020-06-12,103661.130108,0.005372,
2020-06-15,106083.304013,0.023366,
2020-06-16,106868.17889,0.007399,
2020-06-17,106449.010932,-0.003922,
2020-06-18,106803.077507,0.003326,
2020-06-19,106433.967178,-0.003456,
2020-06-22,107097.45841,0.006234,
2020-06-23,108213.142229,0.010417,
2020-06-24,105249.605669,-0.027386,
2020-06-25,106817.668928,0.014899,
2020-06-26,104969.934024,-0.017298,
2020-06-29,106908.319694,0.018466,
2020-06-30,108907.547493,0.0187,
2020-07-01,110050.314759,0.010493,
2020-07-02,112483.33764,0.022108,
2020-07-06,117789.752349,0.047175,
2020-07-07,118362.040464,0.004859,
2020-07-08,118765.128237,0.003406,
2020-07-09,121455.028244,0.022649,
2020-07-10,124514.744896,0.025192,
2020-07-13,121557.52509,-0.02375,
2020-07-14,122602.681384,0.008598,
2020-07-15,122888.156466,0.002328,
2020-07-16,121009.115394,-0.015291,
2020-07-17,120984.407131,-0.000204,
2020-07-20,128852.951008,0.065038,
2020-07-21,124819.979148,-0.031299,
2020-07-22,125892.563788,0.008593,
2020-07-23,120877.109598,-0.039839,
2020-07-24,116948.328086,-0.032502,
2020-07-27,123005.570533,0.051794,
2020-07-28,119651.605806,-0.027267,
2020-07-29,121289.457582,0.013689,
2020-07-30,121171.874441,-0.000969,
2020-07-31,120062.523905,-0.009155,
2020-08-03,122549.468776,0.020714,
2020-08-04,122836.187418,0.00234,
2020-08-05,123055.643878,0.001787,
2020-08-06,125065.836184,0.016336,
2020-08-07,123504.602268,-0.012483,
2020-08-10,123817.748731,0.002536,
2020-08-11,122398.703741,-0.011461,
2020-08-12,123825.720549,0.011659,
2020-08-13,123133.580399,-0.00559,
2020-08-14,122872.916981,-0.002117,
2020-08-17,121520.435128,-0.011007,
2020-08-18,122508.64751,0.008132,
2020-08-19,122067.195565,-0.003603,
2020-08-20,124807.345466,0.022448,
2020-08-21,128339.790251,0.028303,
2020-08-24,128361.732161,0.000171,
2020-08-25,129096.892211,0.005727,
2020-08-26,133335.119372,0.03283,
2020-08-27,133423.410558,0.000662,
2020-08-28,133686.910505,0.001975,
2020-08-31,139634.38296,0.044488,
2020-09-01,139034.676625,-0.004295,
2020-09-02,137012.994494,-0.014541,
2020-09-03,127558.814995,-0.069002,
2020-09-04,126899.120365,-0.005172,
2020-09-08,113870.999521,-0.102665,
2020-09-09,121463.969957,0.06668,
2020-09-10,122177.622647,0.005875,
2020-09-11,121624.859717,-0.004524,
2020-09-14,128114.384083,0.053357,
2020-09-15,131744.754666,0.028337,
2020-09-16,128279.61597,-0.026302,
2020-09-17,125399.312429,-0.022453,
2020-09-18,128448.681079,0.024317,
2020-09-21,129558.694986,0.008642,
2020-09-22,126253.016529,-0.025515,
2020-09-23,127935.506976,0.013326,
2020-09-24,127562.99385,-0.002912,
2020-09-25,124696.275375,-0.022473,
2020-09-28,122364.822897,-0.018697,
2020-09-29,122986.867273,0.005084,
2020-09-30,122078.874722,-0.007383,
2020-10-01,120769.958009,-0.010722,
2020-10-02,124042.872782,0.0271,
2020-10-05,121124.790916,-0.023525,
2020-10-06,123271.985011,0.017727,
2020-10-07,122785.643055,-0.003945,
2020-10-08,120981.580778,-0.014693,
2020-10-09,121199.564172,0.001802,
2020-10-12,123147.8419,0.016075,
2020-10-13,123284.528464,0.00111,
2020-10-14,122686.514263,-0.004851,
2020-10-15,121944.789482,-0.006046,
2020-10-16,121061.022722,-0.007247,
2020-10-19,119021.729566,-0.016845,
2020-10-20,119866.510488,0.007098,
2020-10-21,120392.12738,0.004385,
2020-10-22,120096.248934,-0.002458,
2020-10-23,121145.416643,0.008736,
2020-10-26,118676.137185,-0.020383,
2020-10-27,119457.874896,0.006587,
2020-10-28,116139.006617,-0.027783,
2020-10-29,118165.902874,0.017452,
2020-10-30,120500.890111,0.01976,
2020-11-02,119186.062595,-0.010911,
2020-11-03,117867.779808,-0.011061,
2020-11-04,115609.32241,-0.019161,
2020-11-05,116143.518072,0.004621,
2020-11-06,115572.139416,-0.00492,
2020-11-09,112314.093927,-0.028191,
2020-11-10,109612.099315,-0.024057,
2020-11-11,107858.168865,-0.016001,
2020-11-12,107322.485133,-0.004967,
2020-11-13,108316.662732,0.009263,
2020-11-16,109447.245508,0.010438,
2020-11-17,107979.262851,-0.013413,
2020-11-18,105474.16161,-0.0232,
2020-11-19,106054.257066,0.0055,
2020-11-20,104924.323586,-0.010654,
2020-11-23,108524.479449,0.034312,
2020-11-24,112381.352189,0.035539,
2020-11-25,112360.90761,-0.000182,
2020-11-27,112398.593275,0.000335,
2020-11-30,109196.556288,-0.028488,
2020-12-01,111292.490465,0.019194,
2020-12-02,111313.410791,0.000188,
2020-12-03,112640.436855,0.011922,
2020-12-04,113669.224404,0.009133,
2020-12-07,116000.636476,0.02051,
2020-12-08,117614.318832,0.013911,
2020-12-09,114879.088756,-0.023256,
2020-12-10,117015.793421,0.0186,
2020-12-11,115046.856599,-0.016826,
2020-12-14,116841.183405,0.015596,
2020-12-15,117106.391875,0.00227,
2020-12-16,116422.830331,-0.005837,
2020-12-17,120466.404243,0.034732,
2020-12-18,123828.870315,0.027912,
2020-12-21,120191.861595,-0.029371,
2020-12-22,119134.63024,-0.008796,
2020-12-23,119828.672178,0.005826,
2020-12-24,120916.469939,0.009078,
2020-12-28,122160.74279,0.01029,
2020-12-29,121801.660928,-0.002939,
2020-12-30,122719.640704,0.007537,
2020-12-31,123086.910542,0.002993,
2021-01-04,123879.918482,0.006443,
2021-01-05,124619.909139,0.005973,
2021-01-06,126928.367464,0.018524,
2021-01-07,131379.613226,0.035069,
2021-01-08,134278.018784,0.022061,
2021-01-11,130993.934579,-0.024457,
2021-01-12,133719.790135,0.020809,
2021-01-13,134297.072287,0.004317,
2021-01-14,134440.27679,0.001066,
2021-01-15,131259.597599,-0.023659,
2021-01-19,132087.358769,0.006306,
2021-01-20,131152.715922,-0.007076,
2021-01-21,129459.16882,-0.012913,
2021-01-22,129180.206826,-0.002155,
2021-01-25,130592.558857,0.010933,
2021-01-26,130575.066364,-0.000134,
2021-01-27,127762.221054,-0.021542,
2021-01-28,126621.834503,-0.008926,
2021-01-29,121985.570836,-0.036615,
2021-02-01,124955.287978,0.024345,
2021-02-02,126529.319642,0.012597,
2021-02-03,127889.152952,0.010747,
2021-02-04,128450.431222,0.004389,
2021-02-05,129576.804232,0.008769,
2021-02-08,130491.541879,0.007059,
2021-02-09,129783.002722,-0.00543,
2021-02-10,130836.044683,0.008114,
2021-02-11,130596.213143,-0.001833,
2021-02-12,130662.221414,0.000505,
2021-02-16,131743.460174,0.008275,
2021-02-17,131261.489704,-0.003658,
2021-02-18,130567.211107,-0.005289,
2021-02-19,130010.749558,-0.004262,
2021-02-22,130114.763004,0.0008,
2021-02-23,130385.931344,0.002084,
2021-02-24,130482.210677,0.000738,
2021-02-25,132195.045813,0.013127,
2021-02-26,131282.394756,-0.006904,
