,portfolio_value,daily_return,daily_turnover
2022-11-28,95478.621781,-0.011269,
2022-11-29,95683.632684,0.002147,
2022-11-30,95541.432662,-0.001486,
2022-12-01,96020.938888,0.005019,
2022-12-02,96110.854786,0.000936,
2022-12-05,95305.651204,-0.008378,
2022-12-06,91962.674408,-0.035076,
2022-12-07,91974.265373,0.000126,
2022-12-08,93127.533053,0.012539,
2022-12-09,92524.897363,-0.006471,
2022-12-12,93885.665258,0.014707,
2022-12-13,94807.128209,0.009815,
2022-12-14,95546.498235,0.007799,
2022-12-15,94362.286637,-0.012394,
2022-12-16,95641.918564,0.013561,
2022-12-19,96027.69023,0.004033,
2022-12-20,97913.253749,0.019636,
2022-12-21,97227.55354,-0.007003,
2022-12-22,100196.343771,0.030534,
2022-12-23,100137.407536,-0.000588,
2022-12-27,105189.288271,0.050449,
2022-12-28,104620.750004,-0.005405,
2022-12-29,99726.923467,-0.046777,
2022-12-30,99236.86577,-0.004914,
